Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
1554409_at,1.1243411016931628,0.3519368873948083,1677.9808938613157,0.0,0.03221284069460395,0.6650920263008743
1570006_at,1.124232129179414,0.35200827536164725,1077.30910024678,3.044401924362244e-227,0.07979790282738217,0.2829111763438434
1568012_at,1.1240491641745478,0.35212815861303604,1046.0915548860223,1.6751984073797214e-220,0.099628249633315,0.17964400669951197
1557826_at,1.1240446497075995,0.3521311169653249,2278.408277057812,0.0,-0.156672317159701,0.03417517923221676
203293_s_at,1.1240166656274926,0.35214945545739335,5413.383784485389,0.0,-0.10720120716248548,0.1486209119674299
1556883_a_at,1.1239505639596084,0.3521927757681348,2599.087263416232,0.0,0.07332069139401437,0.32393888207461513
201788_at,1.1239502225501998,0.3521929995234641,3603.8823072215077,0.0,-0.16582588865226983,0.024868763354678945
1561740_at,1.1237280632418718,0.3523386209266868,1342.663658731578,1.408943673109201e-284,0.09939547117249248,0.1806679970510726
1562733_at,1.123701657112247,0.3523559324620958,1085.7286474222558,4.6274811985109384e-229,0.10419135539270874,0.16042611691398456
201561_s_at,1.1235135387376427,0.3524792777542044,7491.3096927831775,0.0,-0.2119692122863061,0.003968876521264894
1557827_at,1.1234062549844432,0.3525496349695013,3007.7409865168916,0.0,0.06772955726255245,0.3622969872943209
1561948_at,1.1233926353596402,0.3525585674880021,1036.844728281862,1.6612824493674494e-218,0.07757790849293897,0.29656059261738205
1555419_a_at,1.1232707584193615,0.35263850829569515,27911.58943739475,0.0,0.1793380406568783,0.015134540197757482
202018_s_at,1.1232335048564384,0.3526629459587172,439501.85293786344,0.0,-0.039587985312962815,0.5946737712815886
1553228_at,1.1231328191278134,0.3527289998887541,1057.9426937184658,4.626723412881166e-223,0.03342625155625835,0.6532808300313261
1552432_at,1.1227671701645832,0.3529689530783296,338.2264107855961,2.9456158696152555e-68,0.13143887252179,0.07613080066637842
1561362_at,1.1227373644979253,0.3529885177444929,1229.2458547739425,4.596748392072128e-260,0.026442433869750353,0.7223516010826786
202799_at,1.1226968686338912,0.3530151007496319,3691.6460919798446,0.0,-0.003646760317993005,0.9609236097018599
201996_s_at,1.1225705845583642,0.35309800732415025,23484.64945984855,0.0,-0.057547085232329445,0.43905511573627004
1556406_at,1.1225362806122727,0.35312053050325837,1299.4842028373198,3.0385699560302385e-275,-0.09450715238554667,0.20317457386562446
205007_s_at,1.1225266144495463,0.35312687726351555,3301.401562413167,0.0,0.06012482146057072,0.41879586564038573
1570269_at,1.1224976783797782,0.3531458770361904,1105.7275955406062,2.2200631282656826e-233,0.09438110342379277,0.20378055704362494
1558975_at,1.1224798465594863,0.35315758597967706,1321.8828388764077,4.376219263254212e-280,-0.07028387473691178,0.3444355671595408
206763_at,1.122396908808379,0.35321204911764253,1214.3919732476909,7.449317778444466e-257,-0.1605618002054203,0.0299112520258841
1560358_at,1.122284841060681,0.35328565049642696,1786.9429495306044,0.0,0.02037294544339893,0.7842843930552896
201313_at,1.1221361428952508,0.3533833256985147,3640.253007084623,0.0,-0.12849487267070964,0.08300164104790247
1562270_at,1.1218747592573457,0.35355506611260684,2148.153030755595,0.0,-0.13142205513028027,0.07616870103153048
1552698_at,1.1217389774059412,0.3536443036469481,1732.587884146485,0.0,0.009987874618813796,0.8932515509828907
1558148_x_at,1.1217154222381545,0.3536597859959027,2240.7582439068437,0.0,-0.1523918763421679,0.03945234929316309
1555056_at,1.121654391566933,0.35369990245412164,1922.0897017088105,0.0,0.044421541789077874,0.5504401462340208
1554021_a_at,1.1215905031475495,0.3537419007537269,6155.37254860521,0.0,0.017441654536008346,0.8147152796058049
1568854_at,1.121286114158832,0.3539420445061592,1083.9876345691484,1.0998001012684058e-228,0.004363379730500328,0.9532527698590207
1557036_at,1.120946014977304,0.35416576192604443,1807.2277480529597,0.0,0.022534080009116372,0.7620536723858157
1555447_at,1.1208652298266117,0.3542189169087543,1411.2977971136518,2.0419241987763254e-299,-0.05951914023776207,0.4235064317721965
1569141_a_at,1.1207170009018315,0.3543164629642381,2568.9062205134196,0.0,-0.03268969229845957,0.6604403674801327
1557659_a_at,1.1206381851667044,0.3543683374055026,908.1867543775977,9.680741285774391e-191,-0.10706586146840819,0.14913723002967066
1555243_x_at,1.1206344979106295,0.3543707643897797,2012.6509211935515,0.0,-0.17024507727125324,0.021217132707625222
206520_x_at,1.1206256899972469,0.3543765618824133,1429.58089516067,2.273326887594126e-303,0.08439984746968406,0.25597973274496716
201293_x_at,1.1204958362419457,0.35446204111353413,78116.760477268,0.0,0.05572579621730091,0.45369955083804964
1554229_at,1.120452162416803,0.3544907936410819,2166.702564883907,0.0,-0.0790724599734656,0.2873242606963944
1555884_at,1.1204225261704785,0.3545103054963938,846.8793908090532,1.6135441115448915e-177,-0.0633222480294909,0.3944400732143239
1567303_at,1.120343373202494,0.35456242173975916,1055.6561558047586,1.442033351807687e-222,0.027956059364446607,0.7071662329350881
1568844_at,1.1201286838856317,0.3547038052555136,1761.7739320761216,0.0,0.14315904480328795,0.05319683094355531
1559790_at,1.1200761174503715,0.35473842882484635,1750.7909116558892,0.0,0.057307315710752184,0.44096749909706895
202193_at,1.1200614832709,0.35474806823666394,2526.829888459803,0.0,-0.07203925937888446,0.33248970414806556
1563055_at,1.1198949654829968,0.3548577649441917,901.1691335421526,3.159958958251821e-189,0.11163489824441612,0.13244552937440468
203187_at,1.1198947992366013,0.3548578744739027,3447.98421801744,0.0,-0.18928007251072318,0.010281099927780172
1554782_at,1.119881986264599,0.3548663162380463,1618.729231952992,0.0,0.02786238473696686,0.7081027449417471
1556721_at,1.1197148257162741,0.3549764619464489,1502.4176890176477,0.0,-0.21986308345479727,0.0027847254974459382
1570479_at,1.1196518185975393,0.3550179848707343,1401.2248051633933,3.07639982042529e-297,-0.1232368283465222,0.09650573901996908
1565065_at,1.119474724836625,0.35513471120880336,1347.1015668168668,1.5470596278974162e-285,-0.01667003646965592,0.8227740956476974
1562974_at,1.1194092891139498,0.35517784806188507,1765.92209331709,0.0,0.10514100541228766,0.15662787884002297
1598_g_at,1.1193390348020462,0.35522416550262365,5593.4022749135265,0.0,0.07898500420647475,0.2878593750005343
1561018_at,1.1191650998588665,0.3553388558343507,828.2069020182972,1.7119128206627835e-173,0.19196487495629555,0.009232677684863612
1560888_x_at,1.1191567891854475,0.3553443364232316,1595.269884389963,0.0,0.06930207797421438,0.3512339104668049
202340_x_at,1.1188440227837053,0.35555063726657543,26908.541545273674,0.0,0.11027817313137846,0.13724478829805586
1553489_a_at,1.118808474617371,0.3555740901159808,681.223605264065,7.881922908475755e-142,0.053805264956684806,0.46943360584897575
201106_at,1.1187219137410689,0.35563120301823886,23559.22471495705,0.0,-0.09164906571137436,0.21723687187988622
1568929_at,1.1187091590854505,0.35563961908389646,2925.1007110453716,0.0,-0.04337189097697021,0.5599079997408819
206887_at,1.1186002650830444,0.355711477622034,3011.804674749899,0.0,-0.03421738474170579,0.6456259431619599
1557644_at,1.1185597238041456,0.35573823315900743,1336.5586622442795,2.942036283034145e-283,-0.013972145397168559,0.8510916801986487
1556543_at,1.118375992702674,0.355859505467077,8912.750114680499,0.0,-0.09815031220879916,0.18621851389778843
1564194_a_at,1.118327163891557,0.3558917399092488,1592.181034933761,0.0,-0.029417501069856706,0.6926131468199999
1563171_at,1.1183031810903734,0.3559075729481116,1668.6491637486108,0.0,0.028693830714062823,0.6998058184501237
1560654_at,1.1182466245565148,0.3559449125494981,731.5359143642848,1.1588498008643391e-152,-0.12214010231115552,0.0995309582329014
1553743_at,1.1180917015772185,0.35604720930547007,2484.1803354722633,0.0,-0.12085319503970737,0.10317590584088378
1569124_at,1.1177480109570441,0.3562742235301515,812.9443445499627,3.338328014445264e-170,-0.001674809126294994,0.9820481804131457
1556111_s_at,1.1177247303100981,0.35628960447355995,2596.9505248198416,0.0,-0.0914186119641061,0.21840026555277053
204573_at,1.1175407437610878,0.35641117600914957,2105.4182701505306,0.0,-0.027077967624881585,0.7159620207386569
1552800_at,1.1175313420845892,0.35641738906340464,3166.2339530877375,0.0,-0.02759667625729268,0.7107615440586343
